20 115
21 98
22 126
23 79
24 121
25 160
26 120
27 74
28 64
29 403
30 3069
31 4095
32 3096
33 859
34 0
35 0
36 259
37 276
38 142
39 103
20 32
21 67
22 75
23 19
24 35
25 90
26 35
27 28
28 70
29 317
30 2958
31 4095
32 3164
33 866
34 0
35 0
36 202
37 256
38 155
39 109
20 85
21 124
22 70
23 128
24 134
25 94
26 90
27 60
28 46
29 347
30 3042
31 4095
32 3069
33 808
34 0
35 0
36 212
37 279
38 190
39 110
20 95
21 81
22 81
23 100
24 124
25 78
26 85
27 136
28 67
29 319
30 2951
31 4095
32 3115
33 819
34 0
35 0
36 210
37 204
38 140
39 85
20 84
21 82
22 59
23 141
24 160
25 127
26 79
27 52
28 40
29 392
30 3061
31 4095
32 3155
33 858
34 0
35 0
36 213
37 274
38 164
39 71
20 75
21 61
22 51
23 129
24 154
25 116
26 134
27 116
28 40
29 406
30 2960
31 4095
32 3038
33 775
34 0
35 0
36 192
37 297
38 153
39 166
20 140
21 107
22 118
23 105
24 63
25 131
26 49
27 35
28 66
29 377
30 3016
31 4095
32 3077
33 855
34 0
35 0
36 211
37 293
38 129
39 0
20 82
21 104
22 106
23 59
24 48
25 39
26 49
27 49
28 0
29 282
30 3007
31 4095
32 3087
33 900
34 0
35 0
36 239
37 352
38 246
39 157
20 0
21 61
22 115
23 128
24 105
25 132
26 24
27 8
28 33
29 373
30 3062
31 4095
32 3048
33 799
34 0
35 0
36 239
37 269
38 126
39 56
20 43
21 114
22 76
23 15
24 20
25 35
26 35
27 106
28 18
29 314
30 2916
31 4095
32 3016
33 871
34 0
35 0
36 256
37 250
38 154
39 79
20 93
21 46
22 22
23 25
24 29
25 65
26 59
27 11
28 69
29 307
30 2932
31 4095
32 3066
33 872
34 0
35 0
36 255
37 315
38 166
39 124
20 33
21 13
22 0
23 104
24 94
25 97
26 46
27 74
28 11
29 306
30 2980
31 4095
32 3122
33 882
34 0
35 0
36 240
37 232
38 116
39 79
20 155
21 104
22 80
23 62
24 52
25 91
26 78
27 48
28 28
29 361
30 2928
31 4095
32 3019
33 870
34 0
35 0
36 222
37 261
38 226
39 93
20 129
21 71
22 64
23 145
24 127
25 20
26 0
27 22
28 49
29 372
30 2946
31 4095
32 3053
33 878
34 0
35 0
36 144
37 186
38 147
39 108
20 115
21 115
22 99
23 142
24 135
25 128
26 81
27 66
28 41
29 285
30 2976
31 4095
32 2973
33 763
34 0
35 0
36 240
37 297
38 217
39 105
20 171
21 203
22 129
23 83
24 104
25 148
26 175
27 135
28 9
29 304
30 2953
31 4095
32 3068
33 818
34 0
35 0
36 254
37 289
38 151
39 46
20 92
21 60
22 71
23 45
24 28
25 94
26 79
27 56
28 25
29 342
30 2980
31 4095
32 3067
33 822
34 0
35 0
36 220
37 255
38 234
39 87
20 87
21 13
22 17
23 40
24 91
25 61
26 129
27 126
28 156
29 404
30 3039
31 4095
32 3109
33 799
34 0
35 0
36 227
37 248
38 192
39 155
20 90
21 97
22 90
23 132
24 103
25 123
26 138
27 109
28 83
29 344
30 2929
31 4095
32 3028
33 877
34 0
35 0
36 196
37 279
38 237
39 139
20 108
21 104
22 40
23 15
24 48
25 109
26 112
27 81
28 39
29 337
30 3006
31 4095
32 3064
33 831
34 0
35 0
36 239
37 266
38 96
39 65
20 69
21 67
22 95
23 91
24 75
25 71
26 95
27 114
28 80
29 365
30 3006
31 4095
32 3102
33 856
34 0
35 0
36 270
37 359
38 202
39 164
20 79
21 87
22 84
23 113
24 116
25 125
26 19
27 62
28 24
29 324
30 2966
31 4095
32 3164
33 929
34 0
35 0
36 195
37 268
38 208
39 87
20 72
21 91
22 113
23 129
24 114
25 69
26 26
27 3
28 0
29 372
30 3034
31 4095
32 3002
33 818
34 0
35 0
36 176
37 250
38 143
39 117
20 129
21 137
22 146
23 161
24 93
25 124
26 180
27 137
28 64
29 320
30 2986
31 4095
32 3097
33 820
34 0
35 0
36 262
37 342
38 243
39 128
20 15
21 48
22 39
23 128
24 108
25 114
26 104
27 131
28 119
29 406
30 3040
31 4095
32 3005
33 767
34 0
35 0
36 184
37 305
38 221
39 80
20 88
21 36
22 32
23 64
24 94
25 155
26 133
27 113
28 126
29 396
30 3042
31 4095
32 3092
33 839
34 0
35 0
36 274
37 348
38 219
39 148
20 68
21 193
22 152
23 48
24 28
25 46
26 60
27 38
28 0
29 281
30 2986
31 4095
32 3105
33 891
34 0
35 0
36 185
37 295
38 221
39 90
20 136
21 144
22 76
23 55
24 78
25 110
26 10
27 39
28 109
29 382
30 2965
31 4095
32 3071
33 839
34 0
35 0
36 189
37 323
38 255
39 167
20 82
21 108
22 123
23 123
24 93
25 89
26 103
27 49
28 29
29 320
30 3035
31 4095
32 3075
33 858
34 0
35 0
36 310
37 303
38 177
39 103
20 0
21 7
22 101
23 172
24 91
25 116
26 105
27 104
28 59
29 376
30 2997
31 4095
32 3109
33 879
34 0
35 0
36 216
37 234
38 110
39 101
20 42
21 0
22 16
23 119
24 168
25 147
26 69
27 60
28 55
29 302
30 3052
31 4095
32 3082
33 801
34 0
35 0
36 239
37 344
38 211
39 187
20 56
21 69
22 97
23 117
24 151
25 101
26 91
27 52
28 41
29 336
30 2879
31 4095
32 3090
33 885
34 0
35 0
36 256
37 276
38 269
39 151
20 74
21 72
22 47
23 52
24 62
25 42
26 60
27 98
28 93
29 373
30 2994
31 4095
32 3022
33 784
34 0
35 0
36 251
37 274
38 234
39 122
20 0
21 23
22 24
23 0
24 58
25 0
26 51
27 107
28 42
29 311
30 2950
31 4095
32 3105
33 840
34 0
35 0
36 262
37 389
38 290
39 190
20 154
21 124
22 36
23 3
24 33
25 8
26 12
27 25
28 3
29 353
30 2926
31 4095
32 3072
33 795
34 0
35 0
36 198
37 303
38 133
39 67
20 120
21 75
22 0
23 0
24 47
25 92
26 116
27 43
28 0
29 339
30 3060
31 4095
32 3044
33 789
34 0
35 0
36 253
37 295
38 292
39 136
20 136
21 114
22 64
23 46
24 115
25 95
26 80
27 92
28 47
29 325
30 2956
31 4095
32 2995
33 886
34 0
35 0
36 245
37 356
38 197
39 93
20 63
21 55
22 107
23 90
24 55
25 59
26 44
27 77
28 104
29 368
30 2958
31 4095
32 3098
33 831
34 0
35 0
36 224
37 192
38 99
39 89
20 93
21 73
22 52
23 78
24 162
25 62
26 39
27 58
28 0
29 310
30 2936
31 4095
32 3067
33 839
34 0
35 0
36 219
37 268
38 219
39 117
20 70
21 65
22 60
23 34
24 45
25 117
26 132
27 24
28 33
29 319
30 3008
31 4095
32 3064
33 802
34 0
35 0
36 253
37 295
38 229
39 199
20 144
21 113
22 111
23 69
24 0
25 4
26 59
27 96
28 28
29 343
30 2943
31 4095
32 3068
33 899
34 0
35 0
36 245
37 359
38 228
39 100
20 131
21 189
22 136
23 157
24 96
25 61
26 27
27 81
28 101
29 298
30 2923
31 4095
32 3098
33 850
34 0
35 0
36 207
37 289
38 237
39 180
20 74
21 0
22 0
23 0
24 1
25 96
26 110
27 100
28 77
29 388
30 3045
31 4095
32 3095
33 819
34 0
35 0
36 176
37 259
38 160
39 100
20 83
21 82
22 59
23 81
24 92
25 118
26 86
27 74
28 11
29 346
30 3072
31 4095
32 3092
33 831
34 0
35 0
36 292
37 262
38 148
39 72
20 60
21 83
22 111
23 157
24 146
25 32
26 77
27 102
28 13
29 314
30 2978
31 4095
32 3120
33 831
34 0
35 0
36 261
37 296
38 234
39 98
20 56
21 105
22 136
23 122
24 103
25 73
26 87
27 73
28 76
29 373
30 3004
31 4095
32 3120
33 838
34 0
35 0
36 192
37 276
38 220
39 181
20 67
21 88
22 71
23 124
24 94
25 90
26 81
27 120
28 50
29 253
30 2943
31 4095
32 3085
33 813
34 0
35 0
36 132
37 279
38 266
39 182
20 27
21 151
22 102
23 123
24 110
25 66
26 103
27 161
28 138
29 366
30 2955
31 4095
32 3057
33 875
34 0
35 0
36 184
37 241
38 134
39 0
20 128
21 143
22 77
23 104
24 103
25 166
26 127
27 163
28 77
29 373
30 3027
31 4095
32 3113
33 846
34 0
35 0
36 326
37 395
38 175
39 103
20 125
21 198
22 180
23 191
24 170
25 130
26 135
27 69
28 59
29 397
30 3040
31 4095
32 3097
33 850
34 0
35 0
36 216
37 257
38 170
39 141
20 21
21 90
22 83
